Marketname;BuildName
Australia;ReSound Smart Fit 1.6.0.254
Austria;ReSound Smart Fit 1.6.0.254
Belgium;ReSound Smart Fit 1.6.0.254
Brazil;ReSound Smart Fit 1.6.0.254
Bulgaria;ReSound Smart Fit 1.6.0.254
Canada;ReSound Smart Fit 1.6.0.254
China;ReSound Smart Fit 1.6.0.254
Croatia;ReSound Smart Fit 1.6.0.254
Czech Republic;ReSound Smart Fit 1.6.0.254
Denmark;ReSound Smart Fit 1.6.0.254
Finland;ReSound Smart Fit 1.6.0.254
France;ReSound Smart Fit 1.6.0.254
Germany;ReSound Smart Fit 1.6.0.254
Greece;ReSound Smart Fit 1.6.0.254
Hong Kong;ReSound Smart Fit 1.6.0.254
Hungary;ReSound Smart Fit 1.6.0.254
India;ReSound Smart Fit 1.6.0.254
International;ReSound Smart Fit 1.6.0.254
Iran;ReSound Smart Fit 1.6.0.254
Italy;ReSound Smart Fit 1.6.0.254
Japan;ReSound Smart Fit 1.6.0.254
Korea;ReSound Smart Fit 1.6.0.254
Netherlands;ReSound Smart Fit 1.6.0.254
New Zealand;ReSound Smart Fit 1.6.0.254
NLHL;ReSound Smart Fit 1.6.0.254
Norway;ReSound Smart Fit 1.6.0.254
Poland;ReSound Smart Fit 1.6.0.254
Portugal;ReSound Smart Fit 1.6.0.254
Romania;ReSound Smart Fit 1.6.0.254
Russia;ReSound Smart Fit 1.6.0.254
South Africa;ReSound Smart Fit 1.6.0.254
Spain;ReSound Smart Fit 1.6.0.254
Sweden;ReSound Smart Fit 1.6.0.254
Switzerland;ReSound Smart Fit 1.6.0.254
Taiwan;ReSound Smart Fit 1.6.0.254
Thailand;ReSound Smart Fit 1.6.0.254
Turkey;ReSound Smart Fit 1.6.0.254
United Kingdom;ReSound Smart Fit 1.6.0.254
United States;ReSound Smart Fit 1.6.0.254
