Marketname;BuildName
Australia;ReSound Smart Fit 1.6.0.150
Austria;ReSound Smart Fit 1.6.0.150
Belgium;ReSound Smart Fit 1.6.0.150
Brazil;ReSound Smart Fit 1.6.0.150
Bulgaria;ReSound Smart Fit 1.6.0.150
Canada;ReSound Smart Fit 1.6.0.150
China;ReSound Smart Fit 1.6.0.150
Croatia;ReSound Smart Fit 1.6.0.150
Czech Republic;ReSound Smart Fit 1.6.0.150
Denmark;ReSound Smart Fit 1.6.0.150
Finland;ReSound Smart Fit 1.6.0.150
France;ReSound Smart Fit 1.6.0.150
Germany;ReSound Smart Fit 1.6.0.150
Greece;ReSound Smart Fit 1.6.0.150
Hong Kong;ReSound Smart Fit 1.6.0.150
Hungary;ReSound Smart Fit 1.6.0.150
India;ReSound Smart Fit 1.6.0.150
International;ReSound Smart Fit 1.6.0.150
Iran;ReSound Smart Fit 1.6.0.150
Italy;ReSound Smart Fit 1.6.0.150
Japan;ReSound Smart Fit 1.6.0.150
Korea;ReSound Smart Fit 1.6.0.150
Netherlands;ReSound Smart Fit 1.6.0.150
New Zealand;ReSound Smart Fit 1.6.0.150
NLHL;ReSound Smart Fit 1.6.0.150
Norway;ReSound Smart Fit 1.6.0.150
Poland;ReSound Smart Fit 1.6.0.150
Portugal;ReSound Smart Fit 1.6.0.150
ReSound Branded Standard PE;ReSound Smart Fit 1.6.0.150
ReSound Standard PE;ReSound Smart Fit 1.6.0.150
Romania;ReSound Smart Fit 1.6.0.150
Russia;ReSound Smart Fit 1.6.0.150
South Africa;ReSound Smart Fit 1.6.0.150
Spain;ReSound Smart Fit 1.6.0.150
Sweden;ReSound Smart Fit 1.6.0.150
Switzerland;ReSound Smart Fit 1.6.0.150
Taiwan;ReSound Smart Fit 1.6.0.150
Thailand;ReSound Smart Fit 1.6.0.150
Turkey;ReSound Smart Fit 1.6.0.150
United Kingdom;ReSound Smart Fit 1.6.0.150
United States;ReSound Smart Fit 1.6.0.150
