Marketname;BuildName
Australia;ReSound Smart Fit 1.6.0.247
Austria;ReSound Smart Fit 1.6.0.247
Belgium;ReSound Smart Fit 1.6.0.247
Brazil;ReSound Smart Fit 1.6.0.247
Bulgaria;ReSound Smart Fit 1.6.0.247
Canada;ReSound Smart Fit 1.6.0.247
China;ReSound Smart Fit 1.6.0.247
Croatia;ReSound Smart Fit 1.6.0.247
Czech Republic;ReSound Smart Fit 1.6.0.247
Denmark;ReSound Smart Fit 1.6.0.247
Finland;ReSound Smart Fit 1.6.0.247
France;ReSound Smart Fit 1.6.0.247
Germany;ReSound Smart Fit 1.6.0.247
Greece;ReSound Smart Fit 1.6.0.247
Hong Kong;ReSound Smart Fit 1.6.0.247
Hungary;ReSound Smart Fit 1.6.0.247
India;ReSound Smart Fit 1.6.0.247
International;ReSound Smart Fit 1.6.0.247
Iran;ReSound Smart Fit 1.6.0.247
Italy;ReSound Smart Fit 1.6.0.247
Japan;ReSound Smart Fit 1.6.0.247
Korea;ReSound Smart Fit 1.6.0.247
Netherlands;ReSound Smart Fit 1.6.0.247
New Zealand;ReSound Smart Fit 1.6.0.247
NLHL;ReSound Smart Fit 1.6.0.247
Norway;ReSound Smart Fit 1.6.0.247
Poland;ReSound Smart Fit 1.6.0.247
Portugal;ReSound Smart Fit 1.6.0.247
Romania;ReSound Smart Fit 1.6.0.247
Russia;ReSound Smart Fit 1.6.0.247
South Africa;ReSound Smart Fit 1.6.0.247
Spain;ReSound Smart Fit 1.6.0.247
Sweden;ReSound Smart Fit 1.6.0.247
Switzerland;ReSound Smart Fit 1.6.0.247
Taiwan;ReSound Smart Fit 1.6.0.247
Thailand;ReSound Smart Fit 1.6.0.247
Turkey;ReSound Smart Fit 1.6.0.247
United Kingdom;ReSound Smart Fit 1.6.0.247
United States;ReSound Smart Fit 1.6.0.247
